FMID,MarketName,City,County,State,Zip,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested
1003877,17th Ave Market,MINNEAPOLIS,Hennepin,Minnesota,55413,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016784,17th Street Farmers Market,RICHMOND,Richmond City,Virginia,23219,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0
1010968,18th and Christian Farmers' Market,PHILADELPHIA,Philadelphia,Pennsylvania,19146,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1009994,18th Street Farmer's Market,SCOTTSBLUFF,Scotts Bluff,Nebraska,69361,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
1018365,18th Street Farmers Market,CHARLESTON,Coles,Illinois,61920,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1012790,19/27 Community Farmers Market,CHIEFLAND,Levy,Florida,32626,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0
1012158,21 Acres Farm Market,WOODINVILLE,King,Washington,98072,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0
1010873,21st Street Farmers Market,TOPEKA,Shawnee,Kansas,66604,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0
1005309,22nd and Tasker Farmers' Market,PHILADELPHIA,Philadelphia,Pennsylvania,19146,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1000709,22nd Annual Highlands Business Partnership Farmers Market,HIGHLANDS,Monmouth,New Jersey,07732,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1011881,25th Street Market - North Logan at the Library Summer 2016,NORTH LOGAN,Cache,Utah,84341,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0
1010966,26th and Allegheny,PHILADELPHIA,Philadelphia,Pennsylvania,19129,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1005299,29th and Wharton Farmers' Market,PHILADELPHIA,Philadelphia,Pennsylvania,19146,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1010994,2nd Street Farmers' Market,AMHERST,Amherst,Virginia,24521,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1
1009959,2nd Street Market - Five Rivers MetroPark,DAYTON,Montgomery,Ohio,45402,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
1004950,3 French Hens French Country Market,MORRIS,Grundy,Illinois,60450,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0
1010775,30A Farmers' Market,ROSEMARY BEACH,Walton,Florida,32461,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
1018656,31 & Main Farmers Market at Campus Town,EWING,Mercer,New Jersey,08618,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1005636,32nd Street/Waverly Farmers Market,BALTIMORE,Baltimore,Maryland,21218,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1005310,33rd and Diamond Farmers' Market,PHILADELPHIA,Philadelphia,Pennsylvania,19121,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1018389,38th & Meridian Farmer's Market,INDIANAPOLIS,Marion,Indiana,46208,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0
1012280,39 North Marketplace,SPARKS,Washoe,Nevada,89431,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1
1004414,3rd & Curry St. Farmers Market,CARSON CITY,Carson City,Nevada,89703,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1011213,441 Ministries Farm Stand,ROCHESTER,Monroe,New York,14609,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1010965,4th and Lehigh Farmers' Market,PHILADELPHIA,Philadelphia,Pennsylvania,19133,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1005304,52nd and Haverford Farmers' Market,PHILADELPHIA,Philadelphia,Pennsylvania,19139,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1000060,57th Street Greenmarket,NEW YORK,New York,New York,10019,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1005306,58th and Chester Farmers' Market,PHILADELPHIA,Philadelphia,Pennsylvania,19143,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1018426,61st Street Farmers Market,CHICAGO,Cook,Illinois,60637,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1
1012500,6th Street Market in Downtown Tempe,TEMPE,Maricopa,Arizona,85281,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1000061,79th Street Greenmarket,NEW YORK,New York,New York,10024,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1000062,82nd Street Greenmarket,NEW YORK,New York,New York,10028,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1008391,84 west farmers market (Dothan),DOTHAN,Houston,Alabama,,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
1001961,8th Avenue City Farmers Market,CEDAR RAPIDS,Linn,Iowa,52401,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1000063,92nd Street Greenmarket,NEW YORK,New York,New York,10128,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1000064,97th Street Greenmarket,NEW YORK,New York,New York,10025,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1011989,9th and Grand Farmers Market,SALINA,Saline,Kansas,67401,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
1000986,9th West Farmers Market/People's Market,SALT LAKE CITY,Salt Lake,Utah,84110,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1010617,A + Organic Farmers Market,BOYNTON BEACH,Palm Beach,Florida,33473,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1
1001683,A Better Choice Bakery & Market,BRUNSWICK,Frederick,Maryland,21716,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1009004,A Growers' Market,TALLAHASSEE,Leon,Florida,32303,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
1001887,AAFFA Community Farmers Market,ANDERSON,Anderson,South Carolina,29624,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0
1004573,Abbeville Farmers Market,ABBEVILLE,Abbeville,South Carolina,29620,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1004598,Abbotsford Farmers Market,ABBOTSFORD,Clark,Wisconsin,54405,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1010487,Abingdon Farmers Market,ABINGDON,Washington,Virginia,24210,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1000065,Abingdon Square Greenmarket,NEW YORK,New York,New York,10014,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1011313,Abita Springs Farmers Market,ABITA SPRINGS,St. Tammany,Louisiana,70420,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1
1004762,ABQ Uptown Growers' Market,ALBQUQUERQUE,Bernalillo,New Mexico,,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1011180,Acreage Green Market,LOXAHATCHEE,Palm Beach,Florida,33470,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0
1003469,Acton-Boxborough Farmers Market,ACTON,Middlesex,Massachusetts,01720,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1018003,Acushnet Farmers Market,ACUSHNET,Bristol,Massachusetts,02743,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0
1001083,Ada Farmers' Market,ADA,Kent,Michigan,49301,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0
1017937,Adams County Farmers' Market Association (PA),GETTYSBURG BOROUGH,Adams,Pennsylvania,17325,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0
1011322,Adams County Farmers' Market Association (PA),GETTYSBURG,Adams,Pennsylvania,17325,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0
1010354,Adams Farmers' & Artisans' Market,ADAMS,Berkshire,Massachusetts,01220,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1018278,Adams Morgan Farmer Market,"WASHINGTON, DC",District of Columbia,District of Columbia,20009,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1008961,Adaptations' Fresh Feast,KEALAKEKUA,Hawaii,Hawaii,96750,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1012288,Adrian Farmers Market,ADRIAN,Lenawee,Michigan,49221,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1
1011214,Aenon Baptist Church Farm Stand,ROCHESTER,Monroe,New York,14611,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1008667,Afton Village Farmers Market,CONCORD,Cabarrus,North Carolina,28027,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1012233,Agricenter International Farmers Market,MEMPHIS,Shelby,Tennessee,38120,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
1003562,Agritopia Farm Stand,GILBERT,Maricopa,Arizona,85233,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
1011830,Ahwatukee Farmers Market,PHOENIX,Maricopa,Arizona,,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
1008054,Airport Farmers and Flea Market,BROOKSVILLE,Hernando,Florida,34604,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0
1011967,Akers of Strawberries,BAKER,Okaloosa,Florida,32531,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0
1004086,Alabama Gulf Coast Market,GULF SHORES,Baldwin,Alabama,36542,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
1008612,Alachua County Farmers' Market,GAINESVILLE,Alachua,Florida,32653,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
1009019,Alameda Farmers' Market,ALAMEDA,Alameda,California,,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1004846,Alamo Farmers Market,ALAMO,Lincoln,Nevada,89001,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1018304,Alamo Heights Farmers Market,SAN ANTONIO,Bexar,Texas,78209,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0
1011033,Alamogordo Farmers' Market in Alameda Park,ALAMOGORDO,Otero,New Mexico,88310,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0
1004070,Alamosa Farmers Market,ALAMOSA,Alamosa,Colorado,81101,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
1004425,Albany Downtown Farmers Market,ALBANY,Dougherty,Georgia,31702,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1002175,Albany Farmers' Market,ALBANY,Linn,Oregon,97321,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
1011108,Albert Lea Farmers Market,ALBERT LEA,Freeborn,Minnesota,,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
1010559,Albion Farmer's Market,ALBION,Cass,Michigan,49224,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
1010407,Albuquerque Downtown Growers' Market,ALBUQUERQUE,Bernalillo,New Mexico,87102,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
1004761,Albuquerque Northeast Farmers' Market,ALBUQUERQUE,Bernalillo,New Mexico,,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1008252,Alderson Farmers Market,ALDERSON,Greenbrier,West Virginia,24910,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1011910,Aledo Farmers Market,ALEDO,Parker,Texas,76008,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1010597,Alexander County Farmers Market,TAYLORSVILLE,Alexander,North Carolina,28681,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1000519,Alexandria Bay Farmers Market,ALEXANDRIA BAY,Jefferson,New York,13607,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1018643,Alexandria Farmers Market,ALEXANDRIA,Rapides,Louisiana,71301,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1007366,Alexandria Farmers' Market,ALEXANDRIA,Douglas,Minnesota,56308,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1011196,Alfred Farmers Market,ALFRED,Allegany,New York,14802,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
1008835,Alisal Certified Farmers' Market,SALINAS,Monterey,California,93905,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1005548,All Locally Grown Produce,HOMESTEAD,Miami-Dade,Florida,33187,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1011735,All Natural & Certified Organic Farmer Market (HOPE FARM),HARLINGEN,Cameron,Texas,78552,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1
1010096,All Saints' Farmers Market,MEMPHIS,Shelby,Tennessee,38117,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1001962,Allamakee Farmers Market,WAUKON,Allamakee,Iowa,52172,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1002717,Allegan Farmers Market,ALLEGAN,Allegan,Michigan,49010,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0
1008262,Alleghany Farmers Market,SPARTA,Alleghany,North Carolina,28675,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1018160,Allen County Farmers Market - Tuesday,IOLA,Allen,Kansas,66749,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1018165,Allen County Farmers' Market - Saturday,HUMBOLDT,Allen,Kansas,66748,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1018105,Allen County Farmers' Market - Thursday,IOLA,Allen,Kansas,66749,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
1011777,Allen Farmers Market,LANSING,Ingham,Michigan,48912,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0
1005675,Alliance Farmers' Market,ALLIANCE,Stark,Ohio,44601,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1006739,Alliance for the Arts GreenMarket,FT. MYERS,Lee,Florida,33919,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
1002683,Allston Farmers' Market,ALLSTON,Middlesex,Massachusetts,02134,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005134,Allston Village Farmers Market,BOSTON,Suffolk,Massachusetts,02134,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1002250,Alma Farmers' Market,ALMA,Gratiot,Michigan,48801,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1012389,Aloha Community Farmers' Market,ALOHA,Washington,Oregon,97007,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0
1010476,Alpena Farmers' Market,ALPENA,Alpena,Michigan,49707,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1
1005447,Alpha Nursery Farmers' Market,CASCADE,Valley,Idaho,83611,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1009792,Alsip Farmers Market,ALSIP,Cook,Illinois,60803,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
1009998,Altadena Farmers' Market,ALTADENA,Los Angeles,California,91001,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0
1004383,Altamont Farmer's Market,ALTAMONT,Albany,New York,12009,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1006749,Alton Farmers' and Artisans' Market,ALTON,Madison,Illinois,62002,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
1001100,Altus Farmers Market,ALTUS,Jackson,Oklahoma,73521,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1011421,Alum Rock Village Farmers' Market,SAN JOSE,Santa Clara,California,,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
1005644,Amador Farmers' Market-- Jackson,JACKSON,Amador,California,95642,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
1005645,Amador Farmers' Market-- Pine Grove,PINE GROVE,Amador,California,95665,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1005646,Amador Farmers' Market-- Sutter Creek,SUTTER CREEK,Amador,California,95685,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1008399,Amelia Farmers Market,AMELIA ISLAND,Nassau,Florida,32034,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
1005188,Amery Farmers Market,AMERY,Polk,Wisconsin,54001,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
